Patrick Swayze
Kevin Bacon
Benicio Del Toro
Harvey Kietel
Ed Harris
William Dafoe
Joaquin Phoenix
Michael Douglas
James Caan
Alec Baldwin
Robert Duvall
Alec Guiness
Geoffrey rush
Christopher Lee
Jeff Bridges
Viggo Mortensen
Sylvester Stallone
Arnold Schwarzenegger
Tim Robbins
Ben Stiller
Steve Martin
Mark Wahlberg
Philip Seymour Hoffman
Ben Kingsley
Jon Voight
Woody allen
Orson Welles
Charlie Chaplin
Kevin Costner
Gene Wilder
Steve McQueen
Javier Bardem
Eddie Murphy
John Cusack
Ian McKellen
James Cagney
Peter O' Toole
Robert Downey Jr.
Will Ferrell
Christopher Walken
George C. Scott
Christopher Plummer
George Clooney
Charlton Heston
Joe Pesci
Matt Damon
Samuel L. Jackson
Jim Carrey
Tommy Lee Jones
Clark Gable
Mel Gibson
John Travolta
Gary Oldman
Hugo Weaving
Christian Bale
Will Smith
Nicolas Cage
Tom Cruise
Bill Murray
Robert Redford
Gregory Peck
Gary Cooper
Peter Sellers
Ralph Fiennes
Heath Ledger
Spencer Tracy
Kevin Spacey
Jack Lemmon
Sean Connery
Edward Norton
Christoph Waltz
Bruce Willis
Leonardo DiCaprio
Sean Penn
Denzel Washington
Henry Fonda
Russell Crowe
Kirk Douglas
Liam Neeson
Anthony Hopkins
Robin Williams
Brad Pitt
Sidney Poitier
John Wayne
Humphrey Bogart
Daniel Day-Lewis
Gene Hackman
Paul Newman
Morgan Freeman
Dustin Hoffman
Johnny Depp
Tom Hanks
Cary Grant
Harrison Ford
Jack Nicholson
James Stewart
Clint Eastwood
Al Pacino
Robert De Niro
Marlon Brando
